name,url,file_size,domestic_total_gross,distributor,release_date,genre,runtime,mpaa_rating,production_budget
payback,http://www.boxofficemojo.com/movies/?id=payback.htm,24932,"$81,526,121",Paramount,"February 5, 1999",Crime,1 hrs. 41 min.,R,$90 million
exotica,http://www.boxofficemojo.com/movies/?id=exotica.htm,19220,"$4,221,036",Miramax,"March 3, 1995",Drama,1 hrs. 43 min.,R,N/A
americanhotwax,http://www.boxofficemojo.com/movies/?id=americanhotwax.htm,15903,"$7,932,571",Paramount,"March 17, 1978",Unknown,1 hrs. 31 min.,PG,N/A
greencard,http://www.boxofficemojo.com/movies/?id=greencard.htm,22989,"$29,888,235",Buena Vista,"December 25, 1990",Romantic Comedy,1 hrs. 47 min.,PG-13,N/A
poltergeist2015,http://www.boxofficemojo.com/movies/?id=poltergeist2015.htm,24283,"$47,425,125",Fox,"May 22, 2015",Horror,1 hrs. 33 min.,PG-13,$35 million
1408,http://www.boxofficemojo.com/movies/?id=1408.htm,25567,"$71,985,628",MGM (Weinstein),"June 22, 2007",Horror,1 hrs. 34 min.,PG-13,$25 million
nakedtango,http://www.boxofficemojo.com/movies/?id=nakedtango.htm,18452,"$81,777",New Line,"August 23, 1991",Unknown,1 hrs. 30 min.,R,N/A
poltergeist2,http://www.boxofficemojo.com/movies/?id=poltergeist2.htm,21041,"$40,996,665",MGM,"May 23, 1986",Horror,1 hrs. 31 min.,PG-13,N/A
tigerwarsaw,http://www.boxofficemojo.com/movies/?id=tigerwarsaw.htm,16564,"$422,667",Sony / Columbia,"September 23, 1988",Drama,1 hrs. 33 min.,R,N/A
landofthelost,http://www.boxofficemojo.com/movies/?id=landofthelost.htm,26060,"$49,438,370",Universal,"June 5, 2009",Adventure Comedy,1 hrs. 33 min.,PG-13,$100 million
nightofthecreeps,http://www.boxofficemojo.com/movies/?id=nightofthecreeps.htm,18919,"$591,366",TriStar,"August 22, 1986",Horror Comedy,1 hrs. 28 min.,R,N/A
code46,http://www.boxofficemojo.com/movies/?id=code46.htm,20746,"$285,585",United Artists,"August 6, 2004",Sci-Fi,1 hrs. 32 min.,R,N/A
bastards2016,http://www.boxofficemojo.com/movies/?id=bastards2016.htm,22177,"$17,501,244",Warner Bros.,"December 22, 2017",Comedy,1 hrs. 53 min.,R,N/A
turk182,http://www.boxofficemojo.com/movies/?id=turk182.htm,18995,"$3,594,997",Fox,"February 15, 1985",Unknown,1 hrs. 42 min.,PG-13,N/A
scorpionking,http://www.boxofficemojo.com/movies/?id=scorpionking.htm,30448,"$91,047,077",Universal,"April 19, 2002",Action Fantasy,1 hrs. 32 min.,PG-13,$60 million
beauticianandthebeast,http://www.boxofficemojo.com/movies/?id=beauticianandthebeast.htm,21047,"$11,486,880",Paramount,"February 7, 1997",Romantic Comedy,1 hrs. 47 min.,PG,$16 million
richandfamous,http://www.boxofficemojo.com/movies/?id=richandfamous.htm,16903,"$14,492,125",MGM,"October 9, 1981",Drama,1 hrs. 44 min.,R,N/A
sorcerersapprentice,http://www.boxofficemojo.com/movies/?id=sorcerersapprentice.htm,28037,"$63,150,991",Buena Vista,"July 14, 2010",Fantasy,1 hrs. 51 min.,PG,$150 million
